SMILES,IC50 (nM)
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccc(F)cc4)cc3)c3c(N)ncnc32)C1,
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)c(Cl)c3)c3c(N)ncnc32)C1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3ccccn3)cc1)nc2[C@H]1CC[C@H](O)CC1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3cc(C(F)(F)F)ccn3)cc1)nc2[C@H]1CC[C@H](O)CC1,
CCCc1ccnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)n4ccnc(N)c34)cc2)c1,
CCc1cnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)n4ccnc(N)c34)cc2)s1,
Cc1ccnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)n4ccnc(N)c34)cc2)c1,
CC(C)c1ccnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)n4ccnc(N)c34)cc2)c1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3cc(C4CC4)ccn3)cc1)nc2[C@H]1CC[C@H](O)CC1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3nc4c(s3)CCCC4)cc1)nc2[C@H]1CC[C@H](O)CC1,
COc1cc(-c2nc([C@H]3CC[C@H](O)CC3)n3ccnc(N)c23)ccc1C(=O)Nc1ccccn1,
CCCc1ccnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)n4ccnc(N)c34)c(C)c2)c1,
CCCc1ccnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)n4ccnc(N)c34)cc2OC)c1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3ccccn3)c(F)c1)nc2[C@H]1CC[C@H](O)CC1,
CCCc1ccnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)n4ccnc(N)c34)cc2F)c1,
CC1CCc2nc(NC(=O)c3ccc(-c4nc([C@H]5CC[C@H](O)CC5)n5ccnc(N)c45)cc3)sc2C1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3nc4c(s3)COCC4)cc1)nc2[C@H]1CC[C@H](O)CC1,
Cc1cc(C(=O)Nc2ccccn2)ccc1-c1nc([C@H]2CC[C@H](O)CC2)n2ccnc(N)c12,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3nc4c(s3)CNCC4)cc1)nc2[C@H]1CC[C@H](O)CC1,
CN1CCc2nc(NC(=O)c3ccc(-c4nc([C@H]5CC[C@H](O)CC5)n5ccnc(N)c45)cc3)sc2C1,
CCc1ccnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](O)CC4)n4ccnc(N)c34)cc2)c1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3cc(-c4ccccc4)ccn3)cc1)nc2[C@H]1CC[C@H](O)CC1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3cc(N4CCCC4)ccn3)cc1)nc2[C@H]1CC[C@H](O)CC1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3ccccn3)c3ccccc13)nc2[C@H]1CC[C@H](O)CC1,
Nc1nccn2c1c(-c1ccc(C(=O)Nc3ccccn3)c(Cl)c1)nc2[C@H]1CC[C@H](O)CC1,
Nc1nccn2c(C3CCOCC3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,
[C-]#[N+]c1ccnc(NC(=O)c2ccc(-c3nc(C4CCOCC4)n4ccnc(N)c34)cc2)c1,
Nc1nccn2c(C3CCOCC3)nc(-c3ccc(C(=O)Nc4ccccn4)cc3)c12,
CCc1cnc(NC(=O)c2ccc(-c3nc(C4CCOCC4)n4ccnc(N)c34)cc2)s1,
Nc1nccn2c(C3CCOCC3)nc(-c3ccc(C(=O)Nc4nccs4)cc3)c12,
CCCc1ccnc(NC(=O)c2ccc(-c3nc([C@H]4[C@@H]5COC[C@@H]54)n4ccnc(N)c34)cc2)c1,
Nc1nccn2c([C@H]3[C@@H]4COC[C@@H]43)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12,
CC1CCc2nc(NC(=O)c3ccc(-c4nc([C@H]5[C@@H]6COC[C@@H]65)n5ccnc(N)c45)cc3)sc2C1,
[C-]#[N+]c1ccnc(NC(=O)c2ccc(-c3nc(C4CCOC4)n4ccnc(N)c34)cc2)c1,
CC1(C)CC(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)CCO1,
CC1(C)CC(c2nc(-c3ccc(C(=O)Nc4ccccn4)cc3)c3c(N)nccn23)CCO1,
CCCc1ccnc(NC(=O)c2ccc(-c3nc(C4CCOC(C)(C)C4)n4ccnc(N)c34)cc2)c1,
[C-]#[N+]c1ccnc(NC(=O)c2ccc(-c3nc(C4CCOC(C)(C)C4)n4ccnc(N)c34)cc2)c1,
CCc1cnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@H](OC(C)=O)CC4)n4ccnc(N)c34)cc2)s1,
CCc1cnc(NC(=O)c2ccc(-c3nc([C@H]4CC[C@@H](OC)CC4)n4ccnc(N)c34)cc2)s1,
